"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"80",106215,107025,107716,109679,111901,113419,114909,117255,120048,120285,122198,125355,127547,128694,130832,133587,135153,137287,140943,146609,150314,153039,156913,160624,162939,165397,168058,172013,174027,172949,172814,173697,176310,178778,173852,164822,150670,138890,148258,187255,204098,187636,180268,176262,173557,172900,172107,171685,174037,177312,178270,176459,174290,175315,179271,183121
"81",94066,96356,97035,98010,100301,102214,103783,105209,107278,110026,110378,112123,114983,117143,118304,120197,122886,124623,126591,130207,135694,139184,141924,145935,149405,151500,154257,157089,160714,162740,161946,161942,162832,165399,167860,163198,154924,141741,130663,139714,176791,192728,177227,170578,167098,164737,164327,163619,163429,166089,169606,170686,169117,167182,167946,171749
"82",81478,84246,86285,87358,88853,90816,92676,94070,95275,97418,100101,100310,101797,104572,106660,107677,109536,112291,113884,115913,119496,124547,127911,130888,134688,137778,140114,142984,145599,149174,151265,150694,150705,151625,154230,156491,152221,144616,132383,122251,130939,165765,180705,166529,160652,157615,155610,155249,154824,155075,157873,161306,162494,161205,159271,159985
"83",70502,71994,74404,76627,78205,79449,81364,82975,84121,85512,87611,89924,89961,91486,94185,95941,96975,99048,101609,103264,105310,108619,113341,116797,119654,123076,126301,128692,131338,133972,137517,139665,139066,139131,140259,142628,144768,140899,133966,122855,113675,121832,154196,168461,155705,150445,147834,146001,145975,145841,146278,149158,152598,153832,152433,150645
"84",60570,61448,62709,65229,67658,68988,70276,71950,73335,74624,75976,77866,79722,79831,81404,83660,85368,86712,88594,91028,92745,94711,97879,102425,105582,108165,111721,114925,117124,119760,122404,125808,127692,127267,127503,128471,130882,132920,129344,123246,113246,104872,112334,142582,156180,144559,139918,137579,136199,136462,136415,136971,139946,143351,144291,142949
"85",50521,51994,52681,54201,56837,58901,60282,61382,62797,64219,65486,66698,68159,69858,70086,71352,73498,75371,76506,78303,80813,82430,84323,87484,91479,94299,97112,100570,103454,105677,108251,110762,113841,115674,115416,115580,116721,119047,120803,117679,112465,103405,95642,102701,130908,143632,133163,128983,127233,126243,126712,126772,127294,130285,133243,134082
"86",41143,42683,43923,44912,46615,48816,50822,51925,52799,54290,55599,56603,57515,58937,60557,60605,61837,64038,65669,66793,68653,70910,72435,74475,77200,80675,83650,86366,89445,92240,94377,96835,99115,102020,103812,103479,103769,104986,107054,108759,106289,101656,93294,86440,93262,119287,131035,121546,118130,116835,116148,116616,116700,117382,119971,122647
"87",32749,34179,35434,36904,38053,39378,41451,43057,43935,45001,46374,47382,48135,49005,50325,51590,51792,53211,55121,56632,57759,59462,61496,63065,64828,67155,70594,73418,75810,78733,81347,83311,85455,87668,90483,91962,91780,92135,93228,95328,97137,94902,90586,83324,77588,83977,107681,118277,110023,107307,106385,105767,106046,106243,106750,109138
"88",25533,26821,27921,29333,30880,31679,32970,34688,35950,36904,37898,39032,39751,40400,41248,42275,43531,43993,45162,46911,48385,49382,50839,52752,54105,55617,58049,61214,63558,65870,68595,70922,72500,74461,76656,79113,80530,80396,80690,81893,84050,85580,83373,79852,73800,68892,74841,95935,105603,98713,96542,95780,95059,95465,95545,95828
"89",19705,20578,21559,22701,24174,25344,26095,27118,28522,29742,30554,31347,32180,32822,33500,34110,35029,36289,36683,37778,39346,40609,41501,42990,44601,45660,47338,49602,52149,54378,56604,59033,60844,62197,64099,65979,68202,69420,69317,69780,71112,72957,74067,72385,69653,64568,60529,65656,84547,93473,87593,85684,84835,84423,84566,84519
